"","Station","Period","Month","Ndays","Median","Pval","Pval_old"
"246","Toronto_East","2017-2019","June",19,18.5,NA,NA
"247","Toronto_East","2017-2019","July",23,22.6,NA,NA
"248","Toronto_East","2017-2019","August",22,21.1,NA,NA
"249","Toronto_East","2017-2019","September",21,16.4,NA,NA
"250","Toronto_East","2017-2019","October",26,8.95,0.0088,NA
"251","Toronto_East","2017-2019","November",43,1.2,0.6021,NA
"252","Toronto_East","2017-2019","December",43,-1.4,0.8242,NA
"253","Toronto_East","2020","January",23,-2.8,0.1077,0.1142
"254","Toronto_East","2020","February",20,-4.05,0.695,0.7139
"255","Toronto_East","2020","March",22,2.85,0.0424,0.0502
"256","Toronto_East","2020","April",22,5.6,0.6673,0.6894
"257","Toronto_East","2020","May",21,12.8,0.5472,0.5726
"258","Toronto_East","2020","June",22,20.7,0.0803,0.1101
"259","Toronto_East","2020","July",23,23.5,0.2558,NA
"260","Toronto_East","2020","August",21,20.6,0.6208,NA
"261","Toronto_East","2020","September",22,15.65,0.4105,NA
"262","Toronto_East","2020","October",22,9.85,0.3602,NA
"263","Toronto_East","2020","November",21,5.4,0.0028,NA
"264","Toronto_East","2020","December",23,-0.1,0.2945,NA
"265","Toronto_North","2017-2019","January",68,-2.55,0.0056,0.0035
"266","Toronto_North","2017-2019","February",59,-1.4,0.5225,0.4625
"267","Toronto_North","2017-2019","March",61,1.3,0.5627,0.5571
"268","Toronto_North","2017-2019","April",60,7.35,0.0378,0.0174
"269","Toronto_North","2017-2019","May",65,13.7,1e-04,1e-04
"270","Toronto_North","2017-2019","June",61,18.8,0.8426,0.8766
"271","Toronto_North","2017-2019","July",63,22.8,0.0267,NA
"272","Toronto_North","2017-2019","August",67,22.2,0.004,NA
"273","Toronto_North","2017-2019","September",62,18.5,0.2323,NA
"274","Toronto_North","2017-2019","October",67,11.2,0.0022,NA
"275","Toronto_North","2017-2019","November",62,3.45,0.0816,NA
"276","Toronto_North","2017-2019","December",62,-0.45,0.0075,NA
"277","Toronto_North","2020","January",22,-0.55,0.5059,0.5381
"278","Toronto_North","2020","February",20,-2.35,0.5675,0.5653
"279","Toronto_North","2020","March",22,4.8,0.0123,0.0171
"280","Toronto_North","2020","April",22,6.65,0.5259,0.5373
"281","Toronto_North","2020","May",21,13.5,0.8167,0.8243
"282","Toronto_North","2020","June",22,21.3,0.0129,0.0113
"283","Toronto_North","2020","July",23,24.6,0.0039,NA
"284","Toronto_North","2020","August",20,21.45,0.3483,NA
"285","Toronto_North","2020","September",22,17.1,0.1721,NA
"286","Toronto_North","2020","October",20,11.45,0.8868,NA
"287","Toronto_North","2020","November",21,7.3,0.0027,NA
"288","Toronto_North","2020","December",23,1.7,0.0986,NA
"289","Toronto_West","2017-2019","January",68,-3.3,0.0168,NA
"290","Toronto_West","2017-2019","February",60,-2.2,0.3918,NA
"291","Toronto_West","2017-2019","March",66,0.15,0.2275,NA
"292","Toronto_West","2017-2019","April",63,6.5,8e-04,NA
"293","Toronto_West","2017-2019","May",68,13.5,0.007,NA
"294","Toronto_West","2017-2019","June",63,18.5,0.9469,NA
"295","Toronto_West","2017-2019","July",66,22.95,0.2476,NA
"296","Toronto_West","2017-2019","August",68,21.65,0.0032,NA
"297","Toronto_West","2017-2019","September",62,18,0.0964,NA
"298","Toronto_West","2017-2019","October",68,10.45,0.002,NA
"299","Toronto_West","2017-2019","November",64,2.4,0.1424,NA
"300","Toronto_West","2017-2019","December",64,-1.35,0.0097,NA
"301","Toronto_West","2020","January",23,-1.7,0.5855,NA
"302","Toronto_West","2020","February",20,-3.5,0.4112,NA
"303","Toronto_West","2020","March",22,3.75,0.0071,NA
"304","Toronto_West","2020","April",22,6.1,0.7949,NA
"305","Toronto_West","2020","May",21,13.2,0.7645,NA
"306","Toronto_West","2020","June",22,20.95,0.0174,NA
"307","Toronto_West","2020","July",23,24.3,0.0295,NA
"308","Toronto_West","2020","August",21,21.2,0.6575,NA
"309","Toronto_West","2020","September",22,16.25,0.1235,NA
"310","Toronto_West","2020","October",22,10.75,0.6797,NA
"311","Toronto_West","2020","November",21,6.4,0.0023,NA
"312","Toronto_West","2020","December",23,0.4,0.168,NA
"313","Windsor_Downtown_Windsor_West","2017-2019","January",67,-2.4,0.0125,0.0095
"314","Windsor_Downtown_Windsor_West","2017-2019","February",60,-0.9,0.1945,0.2009
"315","Windsor_Downtown_Windsor_West","2017-2019","March",65,1.1,0.2965,0.3259
"316","Windsor_Downtown_Windsor_West","2017-2019","April",63,8.9,0.0019,0.002
"317","Windsor_Downtown_Windsor_West","2017-2019","May",69,15.4,0.1101,0.087
"318","Windsor_Downtown_Windsor_West","2017-2019","June",63,19.6,0.3734,0.4256
"319","Windsor_Downtown_Windsor_West","2017-2019","July",65,23.1,0.2087,NA
"320","Windsor_Downtown_Windsor_West","2017-2019","August",64,22.25,0.1204,NA
"321","Windsor_Downtown_Windsor_West","2017-2019","September",58,19,0.7488,NA
"322","Windsor_Downtown_Windsor_West","2017-2019","October",68,11.7,0.0223,NA
"323","Windsor_Downtown_Windsor_West","2017-2019","November",41,3.4,0.1307,NA
"324","Windsor_Downtown_Windsor_West","2017-2019","December",42,-0.45,0.0471,NA
"325","Windsor_Downtown_Windsor_West","2020","January",23,-0.4,0.1363,0.1445
"326","Windsor_Downtown_Windsor_West","2020","February",20,-2.15,0.4085,0.4025
"327","Windsor_Downtown_Windsor_West","2020","March",22,4.7,0.0045,0.0051
"328","Windsor_Downtown_Windsor_West","2020","April",22,6.3,0.1187,0.1197
"329","Windsor_Downtown_Windsor_West","2020","May",21,13.6,0.1483,0.1506
"330","Windsor_Downtown_Windsor_West","2020","June",22,22.25,0.0182,0.0185
"331","Windsor_Downtown_Windsor_West","2020","July",23,24.3,0.118,NA
"332","Windsor_Downtown_Windsor_West","2020","August",17,22.1,0.8694,NA
"333","Windsor_Downtown_Windsor_West","2020","September",20,15.85,0.0045,NA
"334","Windsor_Downtown_Windsor_West","2020","October",22,11.2,0.7891,NA
"335","Windsor_Downtown_Windsor_West","2020","November",20,6.9,0.0021,NA
"336","Windsor_Downtown_Windsor_West","2020","December",23,1,0.3311,NA
