Station,Pollutant,Period,Month,Pval_mean,Pval_med
Guelph,O3,2020,January,0.5696,0.6348
Guelph,O3,2020,February,0.8591,0.7661
Guelph,O3,2020,March,0,0
Guelph,O3,2020,April,0.7923,0.496
Guelph,O3,2020,May,0.3641,0.8331
Guelph,O3,2020,June,0.0305,0.053
Guelph,PM25,2017-2019,January,0.7453,0.7835
Guelph,PM25,2017-2019,February,0.2459,0.7145
Guelph,PM25,2017-2019,March,0.0047,0.0115
Guelph,PM25,2017-2019,April,0.2177,0.8173
Guelph,PM25,2017-2019,May,7e-4,0.0044
Guelph,PM25,2017-2019,June,0.1703,0.1806
Guelph,PM25,2020,January,0.9251,0.6503
Guelph,PM25,2020,February,0.0135,0.0117
Guelph,PM25,2020,March,0.3457,0.3695
Guelph,PM25,2020,April,0.4796,0.8379
Guelph,PM25,2020,May,0.5143,0.2629
Guelph,PM25,2020,June,0.0139,0.0199
Guelph,NO2,2017-2019,January,0.2309,0.1392
Guelph,NO2,2017-2019,February,0.1502,0.1478
Guelph,NO2,2017-2019,March,0.0172,0.1665
Guelph,NO2,2017-2019,April,0.0437,0.0185
Guelph,NO2,2017-2019,May,0.1234,0.2289
Guelph,NO2,2017-2019,June,0.9744,0.9599
Guelph,NO2,2020,January,0.6225,0.9269
Guelph,NO2,2020,February,0.0042,0.0242
Guelph,NO2,2020,March,0.4873,0.2391
Guelph,NO2,2020,April,0.0069,0.0464
Guelph,NO2,2020,May,0.15310000000000001,0.0962
Guelph,NO2,2020,June,0.2237,0.7531
Hamilton_Downtown,O3,2017-2019,January,0.8228,0.5961
Hamilton_Downtown,O3,2017-2019,February,0.6371,0.5441
Hamilton_Downtown,O3,2017-2019,March,0.2095,0.3707
Hamilton_Downtown,O3,2017-2019,April,0.3365,0.1194
Hamilton_Downtown,O3,2017-2019,May,0.017,0.0586
Hamilton_Downtown,O3,2017-2019,June,0.7528,0.9622
Hamilton_Downtown,O3,2020,January,0.58,0.6428
Hamilton_Downtown,O3,2020,February,0.1212,0.6132
Hamilton_Downtown,O3,2020,March,0.0101,0.0031
Hamilton_Downtown,O3,2020,April,0.2305,0.1447
Hamilton_Downtown,O3,2020,May,0.458,0.4996
Hamilton_Downtown,O3,2020,June,0.0101,0.022
Hamilton_Downtown,PM25,2017-2019,January,0.8561,0.9399
Hamilton_Downtown,PM25,2017-2019,February,0.6264,0.4999
Hamilton_Downtown,PM25,2017-2019,March,0.0506,0.1406
Hamilton_Downtown,PM25,2017-2019,April,0.3873,0.842
Hamilton_Downtown,PM25,2017-2019,May,0.0045,0.1655
Hamilton_Downtown,PM25,2017-2019,June,0.0664,0.177
Hamilton_Downtown,PM25,2020,January,0.8219,0.6089
Hamilton_Downtown,PM25,2020,February,0.0807,0.4321
Hamilton_Downtown,PM25,2020,March,0.2911,0.2852
Hamilton_Downtown,PM25,2020,April,0.1905,0.6786
Hamilton_Downtown,PM25,2020,May,0.5138,0.2663
Hamilton_Downtown,PM25,2020,June,0.8879,0.7344
Hamilton_Downtown,NO2,2017-2019,January,0.9213,0.7518
Hamilton_Downtown,NO2,2017-2019,February,0.8935,0.3721
Hamilton_Downtown,NO2,2017-2019,March,0.2216,0.7189
Hamilton_Downtown,NO2,2017-2019,April,0.7338,0.815
Hamilton_Downtown,NO2,2017-2019,May,0.0871,0.0795
Hamilton_Downtown,NO2,2017-2019,June,0.242,0.1711
Hamilton_Downtown,NO2,2020,January,0.7222,0.55
Hamilton_Downtown,NO2,2020,February,0.0711,0.4139
Hamilton_Downtown,NO2,2020,March,0.3501,0.8037
Hamilton_Downtown,NO2,2020,April,0.0098,0.0666
Hamilton_Downtown,NO2,2020,May,0.1667,0.3739
Hamilton_Downtown,NO2,2020,June,0.0136,0.0501
Hamilton_Downtown,CO,2017-2019,January,0.6949,0.7818
Hamilton_Downtown,CO,2017-2019,February,0.8324,0.3649
Hamilton_Downtown,CO,2017-2019,March,0.3791,0.9279
Hamilton_Downtown,CO,2017-2019,April,0.2695,0.4648
Hamilton_Downtown,CO,2017-2019,May,0.2039,0.5303
Hamilton_Downtown,CO,2017-2019,June,0.0154,0.0912
Hamilton_Downtown,CO,2020,January,0.3397,0.1457
Hamilton_Downtown,CO,2020,February,0.0264,0.1716
Hamilton_Downtown,CO,2020,March,0.8347,0.4807
Hamilton_Downtown,CO,2020,April,0.0018,0.0131
Hamilton_Downtown,CO,2020,May,0.4781,0.7439
Hamilton_Downtown,CO,2020,June,0.2263,0.351
Hamilton_Downtown,SO2,2017-2019,January,0.2268,0.7732
Hamilton_Downtown,SO2,2017-2019,February,0.9204,0.3394
Hamilton_Downtown,SO2,2017-2019,March,0.2531,0.1446
Hamilton_Downtown,SO2,2017-2019,April,0.2911,0.6493
Hamilton_Downtown,SO2,2017-2019,May,0.0131,0.6817
