Station,Period,Month,Pval_mean,Pval_med
Windsor_Downtown_Windsor_West,2017-2019,February,0.0065,0.0267
Windsor_Downtown_Windsor_West,2017-2019,March,0.5139,0.3755
Windsor_Downtown_Windsor_West,2017-2019,April,0,0
Windsor_Downtown_Windsor_West,2017-2019,May,0.0029,0.0541
Windsor_Downtown_Windsor_West,2017-2019,June,0.0754,0.1991
Windsor_Downtown_Windsor_West,2020,January,0.0081,0.0522
Windsor_Downtown_Windsor_West,2020,February,0.4183,0.4444
Windsor_Downtown_Windsor_West,2020,March,0,0.0041
Windsor_Downtown_Windsor_West,2020,April,0.1296,0.1151
Windsor_Downtown_Windsor_West,2020,May,0.1502,0.3111
Windsor_Downtown_Windsor_West,2020,June,0.1955,0.0273
