Station,Pollutant,Year,Month,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Burlington,O3,2020,June,22.833333333333332,31.07949561403509,36.90833333333333,35.92176681677456,39.75,48.375
Burlington,PM25,2017-2019,January,1.5,4.572916666666667,7.25,8.238643070484503,11.010416666666666,22.125
Burlington,PM25,2017-2019,February,1.5,4.65625,7.167572463768116,8.077807971014492,10.75,22.791666666666668
Burlington,PM25,2017-2019,March,1.875,3.6875,5.020833333333334,6.80050505050505,8.354166666666666,17.5
Burlington,PM25,2017-2019,April,0.7083333333333334,3.645833333333333,5.041666666666667,6.004360373925591,7.4375,20.416666666666668
Burlington,PM25,2017-2019,May,0.2916666666666667,3.5416666666666665,5.625,6.493199957992019,8.791666666666666,20.416666666666668
Burlington,PM25,2017-2019,June,0.16666666666666666,2.8333333333333335,6.041666666666667,5.907407407407407,8.541666666666666,15.041666666666666
Burlington,PM25,2020,January,3,4.208333333333333,4.791666666666667,6.645715185885318,8.708333333333332,15.916666666666666
Burlington,PM25,2020,February,1.3333333333333333,2.40625,4.75,5.419886363636364,6.90625,13.875
Burlington,PM25,2020,March,0.20833333333333334,4.1875,5.333333333333333,6.878540843214756,9.260416666666666,18.708333333333332
Burlington,PM25,2020,April,0.75,3.1770833333333335,4.979166666666666,4.928030303030303,6.15625,9.416666666666666
Burlington,PM25,2020,May,1.875,3.5789473684210527,5.041666666666667,5.741854636591479,8.25,12.291666666666666
Burlington,PM25,2020,June,1.0833333333333333,5.25,7.520833333333334,7.446271929824562,10.302083333333334,14.583333333333334
Burlington,NO2,2017-2019,January,2.25,8.910416666666666,11.102083333333333,11.791675420168067,14.171875,31.5375
Burlington,NO2,2017-2019,February,3.2666666666666666,8.075,10.585416666666667,11.915625,15.632291666666667,25.275
Burlington,NO2,2017-2019,March,1.5416666666666667,6.579166666666667,8.960416666666667,10.141098484848484,12.797916666666666,28.454166666666666
Burlington,NO2,2017-2019,April,1.95,5.677083333333333,7.953846153846154,8.506460933246647,11.054166666666667,19.545454545454547
Burlington,NO2,2017-2019,May,2.245833333333333,6.75,8.966666666666667,9.060512736056214,11.7125,17.5
Burlington,NO2,2017-2019,June,3.2666666666666666,6.95625,8.583333333333334,8.613263588263589,10.118749999999999,17.083333333333332
Burlington,NO2,2020,January,4.583333333333333,8.639583333333334,10.683333333333334,11.407608695652174,13.7875,23.833333333333332
Burlington,NO2,2020,February,4.391666666666667,8.211079545454545,9.797916666666666,9.750113636363636,11.888541666666665,16.795833333333334
Burlington,NO2,2020,March,3.654166666666667,6.483333333333333,9.129166666666666,9.485227272727272,11.408333333333333,19.016666666666666
Burlington,NO2,2020,April,2.3375,4.648958333333333,5.810416666666667,6.876704545454546,8.579166666666667,15.241666666666667
Burlington,NO2,2020,May,1.7958333333333334,4.666666666666667,6.854166666666667,7.254960317460317,8.779166666666667,17.141666666666666
Burlington,NO2,2020,June,3.5458333333333334,5.90625,8.0625,8.363905502392344,9.872916666666667,14.245833333333334
Brampton,O3,2017-2019,January,7.541666666666667,17.375,24.25,23.163544469171068,28.760416666666668,36.416666666666664
Brampton,O3,2017-2019,February,4.708333333333333,20.572916666666668,29.041666666666668,27.138496376811595,33.3125,40.04347826086956
Brampton,O3,2017-2019,March,12.166666666666666,27.458333333333332,33.9356884057971,32.37743219439184,37.135416666666664,49.34782608695652
Brampton,O3,2017-2019,April,17.291666666666668,27.57142857142857,32.916666666666664,32.426922508133686,36.10416666666667,48.125
Brampton,O3,2017-2019,May,16.083333333333332,28.5,31.428571428571427,32.69608863842025,36.333333333333336,62
Brampton,O3,2017-2019,June,20.583333333333332,26.0625,30.458333333333332,31.22374626178974,35,55.041666666666664
Brampton,O3,2020,January,6.916666666666667,17.26388888888889,20.541666666666668,23.063589582020583,31.391304347826086,38.541666666666664
Brampton,O3,2020,February,24.52173913043478,29.90625,32.583333333333336,32.61548913043478,35.5,39.916666666666664
Brampton,O3,2020,March,13.541666666666666,23.1875,27.729166666666668,27.541090250329383,31.317028985507246,40.69565217391305
Brampton,O3,2020,April,30.47826086956522,34.104166666666664,35.9375,36.12598814229249,38.177083333333336,41.75
Brampton,O3,2020,May,18.333333333333332,31.208333333333332,34.708333333333336,33.3222049689441,36.541666666666664,42.25
Brampton,O3,2020,June,26.17391304347826,32.072916666666664,34.958333333333336,36.6638444723919,41.895833333333336,48.041666666666664
Brampton,PM25,2017-2019,January,2,4.572916666666667,6.520833333333334,8.156170768702738,10.790760869565217,25
Brampton,PM25,2017-2019,February,2.1666666666666665,4.489583333333333,6.875,8.118472222222222,10.145833333333334,24.083333333333332
Brampton,PM25,2017-2019,March,2.125,3.8958333333333335,5.208333333333333,6.925378787878788,8.458333333333334,18.666666666666668
Brampton,PM25,2017-2019,April,0.5416666666666666,3.4375,5.416666666666667,6.0721139971139975,7.833333333333333,21.541666666666668
Brampton,PM25,2017-2019,May,1.4166666666666667,4,5.791666666666667,6.808988049834732,9.208333333333334,14.958333333333334
Brampton,PM25,2017-2019,June,1.375,3.8125,5.625,5.9258396595353116,7.6875,15.583333333333334
Brampton,PM25,2020,January,1.9166666666666667,4.583333333333334,6.041666666666667,8.043478260869565,10.375,21.458333333333332
Brampton,PM25,2020,February,2.375,3.7916666666666665,4.541666666666667,5.539583333333334,6.739583333333333,12.333333333333334
Brampton,PM25,2020,March,1.6428571428571428,5.0707236842105265,6.5,7.709158023517292,8.989583333333334,21.708333333333332
Brampton,PM25,2020,April,2.4166666666666665,3.7916666666666665,4.3125,5.053030303030303,6.34375,8.125
Brampton,PM25,2020,May,2.7083333333333335,3.375,4.833333333333333,6.115079365079366,7.625,14.708333333333334
Brampton,PM25,2020,June,1.6666666666666667,4.34375,7.020833333333334,6.866907713498622,8.96875,13.166666666666666
Brampton,NO2,2017-2019,January,2,6.275,10.525,11.650520435446905,14.541666666666668,31.133333333333333
Brampton,NO2,2017-2019,February,1.8291666666666666,6.041666666666667,10.445833333333333,11.982129099923723,15.721875,30.582608695652173
Brampton,NO2,2017-2019,March,2.0458333333333334,3.7072916666666664,7.694474637681159,9.640471500046079,13.40625,33.56666666666667
