Station,Pollutant,Period,Month,Pval_mean,Pval_med
Kingston,PM25,2017-2019,January,0.0216,0.0073
Kingston,PM25,2017-2019,February,0.4796,0.0933
Kingston,PM25,2017-2019,March,0.002,0.002
Kingston,PM25,2017-2019,April,0.6053,0.9415
Kingston,PM25,2017-2019,May,0,2e-4
Kingston,PM25,2017-2019,June,0.6074,0.3121
Kingston,PM25,2020,January,0.4882,0.2315
Kingston,PM25,2020,February,0.5978,0.7547
Kingston,PM25,2020,March,0.7648,0.4178
Kingston,PM25,2020,April,0.6797,0.8559
Kingston,PM25,2020,May,0.7428,0.7072
Kingston,PM25,2020,June,0.4435,0.2254
Kingston,NO2,2017-2019,January,6e-4,0
Kingston,NO2,2017-2019,February,0.3384,0.4189
Kingston,NO2,2017-2019,March,0.0508,0.3947
Kingston,NO2,2017-2019,April,0.313,0.5767
Kingston,NO2,2017-2019,May,0.3182,0.4452
Kingston,NO2,2017-2019,June,0.0507,0.0138
Kingston,NO2,2020,January,0.0718,0.0197
Kingston,NO2,2020,February,0.0386,0.0181
Kingston,NO2,2020,March,0.0887,0.1259
Kingston,NO2,2020,April,0.026,0.0389
Kingston,NO2,2020,May,0.0072,0.2681
Kingston,NO2,2020,June,0.3598,0.9972
Kitchener,O3,2017-2019,January,0.4808,0.7946
Kitchener,O3,2017-2019,February,0.9445,0.4216
Kitchener,O3,2017-2019,March,0.9043,0.6886
Kitchener,O3,2017-2019,April,0.5345,0.4923
Kitchener,O3,2017-2019,May,6e-4,0.003
Kitchener,O3,2017-2019,June,0.7133,0.6022
Kitchener,O3,2020,January,0.9572,0.6727
Kitchener,O3,2020,February,0.173,0.3007
Kitchener,O3,2020,March,0,1e-4
Kitchener,O3,2020,April,0.0834,0.1293
Kitchener,O3,2020,May,0.049,0.4956
Kitchener,O3,2020,June,0.5094,0.1486
Kitchener,PM25,2017-2019,January,0.598,0.8427
Kitchener,PM25,2017-2019,February,0.7483,0.9384
Kitchener,PM25,2017-2019,March,0.0015,0.0111
Kitchener,PM25,2017-2019,April,0.6303,0.7863
Kitchener,PM25,2017-2019,May,1e-4,0
Kitchener,PM25,2017-2019,June,0.4216,0.3571
Kitchener,PM25,2020,January,0.1682,0.2217
