"","Station","Pollutant","Period","Month","Ndays","Median","Pval","Pval_old"
"131","Belleville","NO2","2017-2019","November",65,4.67083333333333,0.863,NA
"132","Belleville","NO2","2017-2019","December",64,5.25,0.5867,NA
"133","Belleville","NO2","2020","January",23,4.82083333333333,0.8298,0.8278
"134","Belleville","NO2","2020","February",20,3.80416666666667,0.3693,0.364
"135","Belleville","NO2","2020","March",22,3.3125,0.8131,0.8142
"136","Belleville","NO2","2020","April",22,2.46458333333333,0.242,0.2321
"137","Belleville","NO2","2020","May",21,2.75,0.7825,0.7847
"138","Belleville","NO2","2020","June",22,2.44565217391304,0.1186,0.1226
"139","Belleville","NO2","2020","July",23,2.30416666666667,0.0737,NA
"140","Belleville","NO2","2020","August",21,2.68260869565217,0.3607,NA
"141","Belleville","NO2","2020","September",22,2.32708333333333,0.0344,NA
"142","Belleville","NO2","2020","October",22,3.6125,0.9048,NA
"143","Belleville","NO2","2020","November",21,3.6875,0.5881,NA
"144","Belleville","NO2","2020","December",23,4.0375,0.0831,NA
"145","Brantford","O3","2017-2019","January",68,26.2613636363636,0.3054,0.3353
"146","Brantford","O3","2017-2019","February",60,31.0208333333333,0.7163,0.741
"147","Brantford","O3","2017-2019","March",66,35.0208333333333,0.3153,0.3203
"148","Brantford","O3","2017-2019","April",63,33.8333333333333,0.2913,0.2296
"149","Brantford","O3","2017-2019","May",69,34.375,0.0102,0.0175
"150","Brantford","O3","2017-2019","June",63,31.3333333333333,0.5048,0.5302
"151","Brantford","O3","2017-2019","July",66,29.2291666666667,0.0876,NA
"152","Brantford","O3","2017-2019","August",68,27.6875,0.666,NA
"153","Brantford","O3","2017-2019","September",62,22.1041666666667,0.0845,NA
"154","Brantford","O3","2017-2019","October",68,20.6041666666667,0.0166,NA
"155","Brantford","O3","2017-2019","November",65,21.4545454545455,0.5467,NA
"156","Brantford","O3","2017-2019","December",64,23.0625,0.008,NA
"157","Brantford","O3","2020","January",23,26.7391304347826,0.8501,0.8494
"158","Brantford","O3","2020","February",20,31.7291666666667,0.8072,0.8119
"159","Brantford","O3","2020","March",22,29.5516304347826,1e-04,2e-04
"160","Brantford","O3","2020","April",22,36.1875,0.2153,0.2111
"161","Brantford","O3","2020","May",21,31.75,0.4244,0.4095
"162","Brantford","O3","2020","June",22,34.5208333333333,0.1121,0.1084
"163","Brantford","O3","2020","July",23,28.75,0.8159,NA
"164","Brantford","O3","2020","August",21,24,0.0623,NA
"165","Brantford","O3","2020","September",22,23.9166666666667,0.2093,NA
"166","Brantford","O3","2020","October",22,20.5,0.9625,NA
"167","Brantford","O3","2020","November",21,20.6521739130435,0.823,NA
"168","Brantford","O3","2020","December",23,24.0416666666667,0.5528,NA
"169","Brantford","PM25","2017-2019","January",68,7.0625,0.9335,0.921
"170","Brantford","PM25","2017-2019","February",60,8.08333333333333,0.9579,0.9621
"171","Brantford","PM25","2017-2019","March",66,5.125,0.0857,0.069
"172","Brantford","PM25","2017-2019","April",63,5.58333333333333,0.5649,0.4978
"173","Brantford","PM25","2017-2019","May",69,7.08333333333333,0.0033,0.0021
"174","Brantford","PM25","2017-2019","June",63,6.58333333333333,0.3973,0.4308
"175","Brantford","PM25","2017-2019","July",66,7.91666666666667,0.5647,NA
"176","Brantford","PM25","2017-2019","August",68,7.77083333333333,0.0123,NA
"177","Brantford","PM25","2017-2019","September",62,5.875,0.0358,NA
"178","Brantford","PM25","2017-2019","October",68,4.91666666666667,0.2155,NA
"179","Brantford","PM25","2017-2019","November",65,6.75,0.5401,NA
"180","Brantford","PM25","2017-2019","December",64,6.85416666666667,0.4225,NA
"181","Brantford","PM25","2020","January",23,6.70833333333333,0.7647,0.77
"182","Brantford","PM25","2020","February",20,5.125,0.0286,0.0283
